datetime,season,holiday,workingday,weather,temp,humidity,windspeed,cnt
2011-01-01 00:00:00,1,0,0,1,9.84,81,0.0,16
2011-01-01 01:00:00,1,0,0,1,9.02,80,0.0,40
2011-01-01 02:00:00,1,0,0,1,9.02,80,0.0,32
2011-01-01 03:00:00,1,0,0,1,9.84,75,0.0,13
2011-01-01 04:00:00,1,0,0,1,9.84,75,0.0,1
2011-01-01 05:00:00,1,0,0,2,9.84,75,6.0,1
2011-01-01 06:00:00,1,0,0,2,9.02,80,0.0,2
2011-01-01 07:00:00,1,0,0,2,8.20,86,0.0,3
2011-01-01 08:00:00,1,0,0,1,9.84,75,0.0,8
2011-01-01 09:00:00,1,0,0,1,13.12,67,0.0,14
2011-01-01 10:00:00,1,0,0,1,15.58,61,0.0,36
2011-01-01 11:00:00,1,0,0,1,17.22,56,0.0,56
2011-01-01 12:00:00,1,0,0,1,18.04,51,0.0,84
2011-01-01 13:00:00,1,0,0,1,18.86,47,0.0,94
2011-01-01 14:00:00,1,0,0,1,18.86,47,0.0,106
2011-01-01 15:00:00,1,0,0,1,18.86,47,0.0,110
2011-01-01 16:00:00,1,0,0,1,18.86,47,0.0,93
2011-01-01 17:00:00,1,0,0,1,18.86,47,0.0,67
2011-01-01 18:00:00,1,0,0,1,17.22,56,0.0,35
2011-01-01 19:00:00,1,0,0,1,15.58,61,0.0,37
2011-01-01 20:00:00,1,0,0,1,14.76,66,0.0,34
2011-01-01 21:00:00,1,0,0,1,13.94,70,0.0,28
2011-01-01 22:00:00,1,0,0,1,13.94,70,0.0,27
2011-01-01 23:00:00,1,0,0,1,13.12,67,0.0,23
